Starting parallel pool (parpool) using the 'local' profile ... connected to 4 workers.
Exp: 3 - 	 Ger: 39 - 	 Best:    0.01322 - 	 Mean:    3.50611 - 	 AQreal:   20.29047  	 
Exp: 3 - 	 Ger: 40 - 	 Best:    0.01322 - 	 Mean:    3.44777 - 	 AQreal:   19.04304  	 
Exp: 3 - 	 Ger: 41 - 	 Best:    0.01322 - 	 Mean:    3.44631 - 	 AQreal:   19.04304  	 
Exp: 3 - 	 Ger: 42 - 	 Best:    0.01322 - 	 Mean:    3.43550 - 	 AQreal:   19.04304  	 
Exp: 3 - 	 Ger: 43 - 	 Best:    0.01322 - 	 Mean:    3.43550 - 	 AQreal:   19.04304  	 
Exp: 3 - 	 Ger: 44 - 	 Best:    0.01322 - 	 Mean:    3.43550 - 	 AQreal:   19.04304  	 
Exp: 3 - 	 Ger: 45 - 	 Best:    0.01322 - 	 Mean:    3.39128 - 	 AQreal:   17.56281  	 
Exp: 3 - 	 Ger: 46 - 	 Best:    0.01322 - 	 Mean:    3.34667 - 	 AQreal:   17.56281  	 
Exp: 3 - 	 Ger: 47 - 	 Best:    0.01322 - 	 Mean:    3.27677 - 	 AQreal:   17.56281  	 
Exp: 3 - 	 Ger: 48 - 	 Best:    0.01322 - 	 Mean:    3.27677 - 	 AQreal:   17.56281  	 
Exp: 3 - 	 Ger: 49 - 	 Best:    0.01322 - 	 Mean:    3.23836 - 	 AQreal:   17.56281  	 
Exp: 3 - 	 Ger: 50 - 	 Best:    0.01322 - 	 Mean:    3.23836 - 	 AQreal:   17.85746  	 
Exp: 4 - 	 Ger: 1 - 	 Best:    6.30339 - 	 Mean: 7538.97404 - 	 AQreal:   42.44832  	 
Exp: 4 - 	 Ger: 2 - 	 Best:    6.30339 - 	 Mean:   54.73875 - 	 AQreal:   42.44832  	 
Exp: 4 - 	 Ger: 3 - 	 Best:    2.43098 - 	 Mean:   17.36473 - 	 AQreal:   42.44832  	 
Exp: 4 - 	 Ger: 4 - 	 Best:    2.43098 - 	 Mean:   12.65171 - 	 AQreal:   42.44832  	 
Exp: 4 - 	 Ger: 5 - 	 Best:    2.43098 - 	 Mean:   10.49748 - 	 AQreal:   42.16856  	 
Exp: 4 - 	 Ger: 6 - 	 Best:    1.80055 - 	 Mean:    8.43526 - 	 AQreal:   42.16856  	 
Exp: 4 - 	 Ger: 7 - 	 Best:    1.80055 - 	 Mean:    7.65789 - 	 AQreal:   42.16856  	 
Exp: 4 - 	 Ger: 8 - 	 Best:    0.04126 - 	 Mean:    6.50345 - 	 AQreal:   42.16856  	 
Exp: 4 - 	 Ger: 9 - 	 Best:    0.04126 - 	 Mean:    5.70683 - 	 AQreal:   42.16856  	 
Exp: 4 - 	 Ger: 10 - 	 Best:    0.04126 - 	 Mean:    5.56668 - 	 AQreal:   34.48766  	 
Exp: 4 - 	 Ger: 11 - 	 Best:    0.04126 - 	 Mean:    5.12545 - 	 AQreal:   34.48766  	 
Exp: 4 - 	 Ger: 12 - 	 Best:    0.04126 - 	 Mean:    4.66539 - 	 AQreal:   34.48766  	 
Exp: 4 - 	 Ger: 13 - 	 Best:    0.04126 - 	 Mean:    4.52016 - 	 AQreal:   34.48766  	 
Exp: 4 - 	 Ger: 14 - 	 Best:    0.04126 - 	 Mean:    4.10995 - 	 AQreal:   34.48766  	 
Exp: 4 - 	 Ger: 15 - 	 Best:    0.04126 - 	 Mean:    3.90185 - 	 AQreal:   34.55024  	 
Exp: 4 - 	 Ger: 16 - 	 Best:    0.01093 - 	 Mean:    3.57504 - 	 AQreal:   34.55024  	 
Exp: 4 - 	 Ger: 17 - 	 Best:    0.01093 - 	 Mean:    3.46037 - 	 AQreal:   34.55024  	 
Exp: 4 - 	 Ger: 18 - 	 Best:    0.01093 - 	 Mean:    3.37572 - 	 AQreal:   34.55024  	 
Exp: 4 - 	 Ger: 19 - 	 Best:    0.01093 - 	 Mean:    3.37572 - 	 AQreal:   34.55024  	 
Exp: 4 - 	 Ger: 20 - 	 Best:    0.01093 - 	 Mean:    3.27149 - 	 AQreal:   32.47743  	 
Exp: 4 - 	 Ger: 21 - 	 Best:    0.01093 - 	 Mean:    3.23518 - 	 AQreal:   32.47743  	 
Exp: 4 - 	 Ger: 22 - 	 Best:    0.01093 - 	 Mean:    2.99578 - 	 AQreal:   32.47743  	 
Exp: 4 - 	 Ger: 23 - 	 Best:    0.01093 - 	 Mean:    2.93500 - 	 AQreal:   32.47743  	 
Exp: 4 - 	 Ger: 24 - 	 Best:    0.01093 - 	 Mean:    2.85885 - 	 AQreal:   32.47743  	 
Exp: 4 - 	 Ger: 25 - 	 Best:    0.01093 - 	 Mean:    2.56718 - 	 AQreal:   28.83513  	 
Exp: 4 - 	 Ger: 26 - 	 Best:    0.01093 - 	 Mean:    2.39046 - 	 AQreal:   28.83513  	 
Exp: 4 - 	 Ger: 27 - 	 Best:    0.01093 - 	 Mean:    2.32103 - 	 AQreal:   28.83513  	 
Exp: 4 - 	 Ger: 28 - 	 Best:    0.01093 - 	 Mean:    2.03697 - 	 AQreal:   28.83513  	 
Exp: 4 - 	 Ger: 29 - 	 Best:    0.01093 - 	 Mean:    1.97527 - 	 AQreal:   28.83513  	 
Exp: 4 - 	 Ger: 30 - 	 Best:    0.01093 - 	 Mean:    1.84900 - 	 AQreal:   19.81908  	 
Exp: 4 - 	 Ger: 31 - 	 Best:    0.01093 - 	 Mean:    1.84900 - 	 AQreal:   19.81908  	 
Exp: 4 - 	 Ger: 32 - 	 Best:    0.01093 - 	 Mean:    1.69849 - 	 AQreal:   19.81908  	 
Exp: 4 - 	 Ger: 33 - 	 Best:    0.01090 - 	 Mean:    1.56548 - 	 AQreal:   19.81908  	 
Exp: 4 - 	 Ger: 34 - 	 Best:    0.01090 - 	 Mean:    1.43781 - 	 AQreal:   19.81908  	 
Exp: 4 - 	 Ger: 35 - 	 Best:    0.01090 - 	 Mean:    1.42404 - 	 AQreal:   19.43622  	 
Exp: 4 - 	 Ger: 36 - 	 Best:    0.01090 - 	 Mean:    1.40876 - 	 AQreal:   19.43622  	 
Exp: 4 - 	 Ger: 37 - 	 Best:    0.01090 - 	 Mean:    1.40178 - 	 AQreal:   19.43622  	 
Exp: 4 - 	 Ger: 38 - 	 Best:    0.01090 - 	 Mean:    1.32477 - 	 AQreal:   19.43622  	 
Exp: 4 - 	 Ger: 39 - 	 Best:    0.01082 - 	 Mean:    1.13118 - 	 AQreal:   19.43622  	 
Exp: 4 - 	 Ger: 40 - 	 Best:    0.01082 - 	 Mean:    0.97488 - 	 AQreal:   15.89493  	 
Exp: 4 - 	 Ger: 41 - 	 Best:    0.01062 - 	 Mean:    0.83293 - 	 AQreal:   15.89493  	 
Exp: 4 - 	 Ger: 42 - 	 Best:    0.01062 - 	 Mean:    0.82819 - 	 AQreal:   15.89493  	 
Exp: 4 - 	 Ger: 43 - 	 Best:    0.01062 - 	 Mean:    0.82819 - 	 AQreal:   15.89493  	 
Exp: 4 - 	 Ger: 44 - 	 Best:    0.01062 - 	 Mean:    0.68876 - 	 AQreal:   15.89493  	 
Exp: 4 - 	 Ger: 45 - 	 Best:    0.01062 - 	 Mean:    0.68876 - 	 AQreal:   16.18378  	 
Exp: 4 - 	 Ger: 46 - 	 Best:    0.01062 - 	 Mean:    0.62778 - 	 AQreal:   16.18378  	 
