Exp: 1 - 	 Ger: 3 - 	 Best:    0.03278 - 	 Mean:    0.06193 - 	 AQreal:    1.00000  	 
Exp: 1 - 	 Ger: 4 - 	 Best:    0.03278 - 	 Mean:    0.05339 - 	 AQreal:    1.00000  	 
Exp: 1 - 	 Ger: 5 - 	 Best:    0.03278 - 	 Mean:    0.04700 - 	 AQreal:    0.78640  	 
Exp: 1 - 	 Ger: 6 - 	 Best:    0.03278 - 	 Mean:    0.04319 - 	 AQreal:    0.78640  	 
Exp: 1 - 	 Ger: 7 - 	 Best:    0.03278 - 	 Mean:    0.04181 - 	 AQreal:    0.78640  	 
Exp: 1 - 	 Ger: 8 - 	 Best:    0.03278 - 	 Mean:    0.03931 - 	 AQreal:    0.78640  	 
Exp: 1 - 	 Ger: 9 - 	 Best:    0.02562 - 	 Mean:    0.03731 - 	 AQreal:    0.78640  	 
Exp: 1 - 	 Ger: 10 - 	 Best:    0.02562 - 	 Mean:    0.03632 - 	 AQreal:    0.72594  	 
Exp: 1 - 	 Ger: 11 - 	 Best:    0.02562 - 	 Mean:    0.03479 - 	 AQreal:    0.72594  	 
Exp: 1 - 	 Ger: 12 - 	 Best:    0.02562 - 	 Mean:    0.03426 - 	 AQreal:    0.72594  	 
Exp: 1 - 	 Ger: 13 - 	 Best:    0.02562 - 	 Mean:    0.03404 - 	 AQreal:    0.72594  	 
Exp: 1 - 	 Ger: 14 - 	 Best:    0.02562 - 	 Mean:    0.03356 - 	 AQreal:    0.72594  	 
Exp: 1 - 	 Ger: 15 - 	 Best:    0.02562 - 	 Mean:    0.03282 - 	 AQreal:    0.71768  	 
Exp: 1 - 	 Ger: 16 - 	 Best:    0.02562 - 	 Mean:    0.03248 - 	 AQreal:    0.71768  	 
Exp: 1 - 	 Ger: 17 - 	 Best:    0.02562 - 	 Mean:    0.03235 - 	 AQreal:    0.71768  	 
Exp: 1 - 	 Ger: 18 - 	 Best:    0.02562 - 	 Mean:    0.03235 - 	 AQreal:    0.71768  	 
Exp: 1 - 	 Ger: 19 - 	 Best:    0.02562 - 	 Mean:    0.03226 - 	 AQreal:    0.71768  	 
Exp: 1 - 	 Ger: 20 - 	 Best:    0.02562 - 	 Mean:    0.03207 - 	 AQreal:    0.67560  	 
Exp: 1 - 	 Ger: 21 - 	 Best:    0.02562 - 	 Mean:    0.03142 - 	 AQreal:    0.67560  	 
Exp: 1 - 	 Ger: 22 - 	 Best:    0.02562 - 	 Mean:    0.03108 - 	 AQreal:    0.67560  	 
Exp: 1 - 	 Ger: 23 - 	 Best:    0.02562 - 	 Mean:    0.03087 - 	 AQreal:    0.67560  	 
Exp: 1 - 	 Ger: 24 - 	 Best:    0.02562 - 	 Mean:    0.03026 - 	 AQreal:    0.67560  	 
Exp: 1 - 	 Ger: 25 - 	 Best:    0.02562 - 	 Mean:    0.02989 - 	 AQreal:    0.55479  	 
Exp: 1 - 	 Ger: 26 - 	 Best:    0.02562 - 	 Mean:    0.02963 - 	 AQreal:    0.55479  	 
Exp: 1 - 	 Ger: 27 - 	 Best:    0.02562 - 	 Mean:    0.02960 - 	 AQreal:    0.55479  	 
Exp: 1 - 	 Ger: 28 - 	 Best:    0.02174 - 	 Mean:    0.02887 - 	 AQreal:    0.55479  	 
Exp: 1 - 	 Ger: 29 - 	 Best:    0.02174 - 	 Mean:    0.02869 - 	 AQreal:    0.55479  	 
Exp: 1 - 	 Ger: 30 - 	 Best:    0.02174 - 	 Mean:    0.02833 - 	 AQreal:    0.53970  	 
Exp: 1 - 	 Ger: 31 - 	 Best:    0.02174 - 	 Mean:    0.02773 - 	 AQreal:    0.53970  	 
Exp: 1 - 	 Ger: 32 - 	 Best:    0.02174 - 	 Mean:    0.02759 - 	 AQreal:    0.53970  	 
Exp: 1 - 	 Ger: 33 - 	 Best:    0.02174 - 	 Mean:    0.02729 - 	 AQreal:    0.53970  	 
Exp: 1 - 	 Ger: 34 - 	 Best:    0.02174 - 	 Mean:    0.02722 - 	 AQreal:    0.53970  	 
Exp: 1 - 	 Ger: 35 - 	 Best:    0.02174 - 	 Mean:    0.02683 - 	 AQreal:    0.53938  	 
Exp: 1 - 	 Ger: 36 - 	 Best:    0.02174 - 	 Mean:    0.02645 - 	 AQreal:    0.53938  	 
Exp: 1 - 	 Ger: 37 - 	 Best:    0.02174 - 	 Mean:    0.02624 - 	 AQreal:    0.53938  	 
Exp: 1 - 	 Ger: 38 - 	 Best:    0.02120 - 	 Mean:    0.02579 - 	 AQreal:    0.53938  	 
Exp: 1 - 	 Ger: 39 - 	 Best:    0.02120 - 	 Mean:    0.02572 - 	 AQreal:    0.53938  	 
Exp: 1 - 	 Ger: 40 - 	 Best:    0.01782 - 	 Mean:    0.02543 - 	 AQreal:    0.50832  	 
Exp: 1 - 	 Ger: 41 - 	 Best:    0.01782 - 	 Mean:    0.02533 - 	 AQreal:    0.50832  	 
Exp: 1 - 	 Ger: 42 - 	 Best:    0.01782 - 	 Mean:    0.02511 - 	 AQreal:    0.50832  	 
Exp: 1 - 	 Ger: 43 - 	 Best:    0.01782 - 	 Mean:    0.02469 - 	 AQreal:    0.50832  	 
Exp: 1 - 	 Ger: 44 - 	 Best:    0.01782 - 	 Mean:    0.02450 - 	 AQreal:    0.50832  	 
Exp: 1 - 	 Ger: 45 - 	 Best:    0.01782 - 	 Mean:    0.02423 - 	 AQreal:    0.50546  	 
Exp: 1 - 	 Ger: 46 - 	 Best:    0.01782 - 	 Mean:    0.02418 - 	 AQreal:    0.50546  	 
Exp: 1 - 	 Ger: 47 - 	 Best:    0.01782 - 	 Mean:    0.02374 - 	 AQreal:    0.50546  	 
Exp: 1 - 	 Ger: 48 - 	 Best:    0.01782 - 	 Mean:    0.02368 - 	 AQreal:    0.50546  	 
Exp: 1 - 	 Ger: 49 - 	 Best:    0.01782 - 	 Mean:    0.02355 - 	 AQreal:    0.50546  	 
Exp: 1 - 	 Ger: 50 - 	 Best:    0.01782 - 	 Mean:    0.02354 - 	 AQreal:    0.49299  	 
Exp: 1 - 	 Ger: 51 - 	 Best:    0.01782 - 	 Mean:    0.02332 - 	 AQreal:    0.49299  	 
Exp: 1 - 	 Ger: 52 - 	 Best:    0.01782 - 	 Mean:    0.02314 - 	 AQreal:    0.49299  	 
Exp: 1 - 	 Ger: 53 - 	 Best:    0.01782 - 	 Mean:    0.02286 - 	 AQreal:    0.49299  	 
Exp: 1 - 	 Ger: 54 - 	 Best:    0.01782 - 	 Mean:    0.02282 - 	 AQreal:    0.49299  	 
Exp: 1 - 	 Ger: 55 - 	 Best:    0.01782 - 	 Mean:    0.02280 - 	 AQreal:    0.45017  	 
Exp: 1 - 	 Ger: 56 - 	 Best:    0.01782 - 	 Mean:    0.02268 - 	 AQreal:    0.45017  	 
Exp: 1 - 	 Ger: 57 - 	 Best:    0.01782 - 	 Mean:    0.02249 - 	 AQreal:    0.45017  	 
Exp: 1 - 	 Ger: 58 - 	 Best:    0.01782 - 	 Mean:    0.02230 - 	 AQreal:    0.45017  	 
Exp: 1 - 	 Ger: 59 - 	 Best:    0.01782 - 	 Mean:    0.02230 - 	 AQreal:    0.45017  	 
Exp: 1 - 	 Ger: 60 - 	 Best:    0.01782 - 	 Mean:    0.02206 - 	 AQreal:    0.39969  	 
Exp: 1 - 	 Ger: 61 - 	 Best:    0.01782 - 	 Mean:    0.02183 - 	 AQreal:    0.39969  	 
Exp: 1 - 	 Ger: 62 - 	 Best:    0.01782 - 	 Mean:    0.02141 - 	 AQreal:    0.39969  	 
Exp: 1 - 	 Ger: 63 - 	 Best:    0.01782 - 	 Mean:    0.02096 - 	 AQreal:    0.39969  	 
Exp: 1 - 	 Ger: 64 - 	 Best:    0.01782 - 	 Mean:    0.02095 - 	 AQreal:    0.39969  	 
Exp: 1 - 	 Ger: 65 - 	 Best:    0.01782 - 	 Mean:    0.02080 - 	 AQreal:    0.34244  	 
Exp: 1 - 	 Ger: 66 - 	 Best:    0.01782 - 	 Mean:    0.02064 - 	 AQreal:    0.34244  	 
Exp: 1 - 	 Ger: 67 - 	 Best:    0.01782 - 	 Mean:    0.02062 - 	 AQreal:    0.34244  	 
Exp: 1 - 	 Ger: 68 - 	 Best:    0.01782 - 	 Mean:    0.02044 - 	 AQreal:    0.34244  	 
Exp: 1 - 	 Ger: 69 - 	 Best:    0.01782 - 	 Mean:    0.02035 - 	 AQreal:    0.34244  	 
Exp: 1 - 	 Ger: 70 - 	 Best:    0.01719 - 	 Mean:    0.02010 - 	 AQreal:    0.33959  	 
Exp: 1 - 	 Ger: 71 - 	 Best:    0.01719 - 	 Mean:    0.01989 - 	 AQreal:    0.33959  	 
Exp: 1 - 	 Ger: 72 - 	 Best:    0.01719 - 	 Mean:    0.01984 - 	 AQreal:    0.33959  	 
Exp: 1 - 	 Ger: 73 - 	 Best:    0.01719 - 	 Mean:    0.01971 - 	 AQreal:    0.33959  	 
