Exp: 1 - 	 Ger: 77 - 	 Best:    0.12715 - 	 Mean:    0.12749 - 	 AQreal:    0.03593  	 
Exp: 1 - 	 Ger: 78 - 	 Best:    0.12715 - 	 Mean:    0.12746 - 	 AQreal:    0.03593  	 
Exp: 1 - 	 Ger: 79 - 	 Best:    0.12684 - 	 Mean:    0.12738 - 	 AQreal:    0.03593  	 
Exp: 1 - 	 Ger: 80 - 	 Best:    0.12682 - 	 Mean:    0.12728 - 	 AQreal:    0.03399  	 
Exp: 1 - 	 Ger: 81 - 	 Best:    0.12682 - 	 Mean:    0.12720 - 	 AQreal:    0.03399  	 
Exp: 1 - 	 Ger: 82 - 	 Best:    0.12682 - 	 Mean:    0.12714 - 	 AQreal:    0.03399  	 
Exp: 1 - 	 Ger: 83 - 	 Best:    0.12682 - 	 Mean:    0.12710 - 	 AQreal:    0.03399  	 
Exp: 1 - 	 Ger: 84 - 	 Best:    0.12680 - 	 Mean:    0.12703 - 	 AQreal:    0.03399  	 
Exp: 1 - 	 Ger: 85 - 	 Best:    0.12680 - 	 Mean:    0.12699 - 	 AQreal:    0.03037  	 
Exp: 1 - 	 Ger: 86 - 	 Best:    0.12668 - 	 Mean:    0.12691 - 	 AQreal:    0.03037  	 
Exp: 1 - 	 Ger: 87 - 	 Best:    0.12668 - 	 Mean:    0.12686 - 	 AQreal:    0.03037  	 
Exp: 1 - 	 Ger: 88 - 	 Best:    0.12634 - 	 Mean:    0.12679 - 	 AQreal:    0.03037  	 
Exp: 1 - 	 Ger: 89 - 	 Best:    0.12628 - 	 Mean:    0.12675 - 	 AQreal:    0.03037  	 
Exp: 1 - 	 Ger: 90 - 	 Best:    0.12621 - 	 Mean:    0.12668 - 	 AQreal:    0.02999  	 
Exp: 1 - 	 Ger: 91 - 	 Best:    0.12621 - 	 Mean:    0.12663 - 	 AQreal:    0.02999  	 
Exp: 1 - 	 Ger: 92 - 	 Best:    0.12621 - 	 Mean:    0.12659 - 	 AQreal:    0.02999  	 
Exp: 1 - 	 Ger: 93 - 	 Best:    0.12621 - 	 Mean:    0.12654 - 	 AQreal:    0.02999  	 
Exp: 1 - 	 Ger: 94 - 	 Best:    0.12621 - 	 Mean:    0.12648 - 	 AQreal:    0.02999  	 
Exp: 1 - 	 Ger: 95 - 	 Best:    0.12621 - 	 Mean:    0.12646 - 	 AQreal:    0.02766  	 
Exp: 1 - 	 Ger: 96 - 	 Best:    0.12621 - 	 Mean:    0.12638 - 	 AQreal:    0.02766  	 
Exp: 1 - 	 Ger: 97 - 	 Best:    0.12591 - 	 Mean:    0.12629 - 	 AQreal:    0.02766  	 
Exp: 1 - 	 Ger: 98 - 	 Best:    0.12591 - 	 Mean:    0.12625 - 	 AQreal:    0.02766  	 
Exp: 1 - 	 Ger: 99 - 	 Best:    0.12591 - 	 Mean:    0.12621 - 	 AQreal:    0.02766  	 
Exp: 1 - 	 Ger: 100 - 	 Best:    0.12591 - 	 Mean:    0.12620 - 	 AQreal:    0.02575  	 


             Etapa 1

Exp 1 - Aptidao: 0.147559

Aptidão Média: 0.147559

Aptidão Desvio: 0.000000

Tempo Total(1 experimentos): 372.077953 s


             Etapa 2 - Random

                RMSE

Exp 1 - Treinamento: 0.123841  Validacao: 0.143673  Teste: 0.197639  SRG: 2.058979

Média: Treinamento: 0.123841  Validacao: 0.143673  Teste: 0.197639

Desvio: Treinamento: 0.000000  Validacao: 0.000000  Teste: 0.000000

Melhor: Treinamento: 0.123841  Validacao: 0.143673  Teste: 0.197639  SRG: 2.058979

                fit

Exp 1 - Treinamento: 84.335087  Validacao: 85.223925  Teste: 80.827925  SRG: 2.058979

Média: Treinamento: 84.335087  Validacao: 85.223925  Teste: 80.827925

Desvio: Treinamento: 0.000000  Validacao: 0.000000  Teste: 0.000000

Melhor: Treinamento: 84.335087  Validacao: 85.223925  Teste: 80.827925  SRG: 2.058979
                RRSE

Exp 1 - Treinamento: 0.156649  Validacao: 0.147761  Teste: 0.191721  SRG: 2.058979

Média: Treinamento: 0.156649  Validacao: 0.147761  Teste: 0.191721

Desvio: Treinamento: 0.000000  Validacao: 0.000000  Teste: 0.000000

Melhor: Treinamento: 0.156649  Validacao: 0.147761  Teste: 0.191721  SRG: 2.058979

Tempo Total(1 experimentos): 1.037429 s


             Etapa 2 - SRG

                RMSE

Exp 1 - Treinamento: 0.132513  Validacao: 0.150125  Teste: 0.189903  SRG: 1.631322

Média: Treinamento: 0.132513  Validacao: 0.150125  Teste: 0.189903

Desvio: Treinamento: 0.000000  Validacao: 0.000000  Teste: 0.000000

Melhor: Treinamento: 0.132513  Validacao: 0.150125  Teste: 0.189903  SRG: 1.631322

                fit

Exp 1 - Treinamento: 83.238147  Validacao: 84.560397  Teste: 81.578377  SRG: 1.631322

Média: Treinamento: 83.238147  Validacao: 84.560397  Teste: 81.578377

Desvio: Treinamento: 0.000000  Validacao: 0.000000  Teste: 0.000000

Melhor: Treinamento: 83.238147  Validacao: 84.560397  Teste: 81.578377  SRG: 1.631322
                RRSE

Exp 1 - Treinamento: 0.167619  Validacao: 0.154396  Teste: 0.184216  SRG: 1.631322

Média: Treinamento: 0.167619  Validacao: 0.154396  Teste: 0.184216

Desvio: Treinamento: 0.000000  Validacao: 0.000000  Teste: 0.000000

Melhor: Treinamento: 0.167619  Validacao: 0.154396  Teste: 0.184216  SRG: 1.631322


             Etapa 2 - Otimização dos pesos do reservatório

                RMSE

Exp 1 - Treinamento: 0.125352  Validacao: 0.125909  Teste: 0.236431  SRG: 1.912910

