Starting parallel pool (parpool) using the 'local' profile ... connected to 4 workers.
Exp: 1 - 	 Ger: 16 - 	 Best:    0.09431 - 	 Mean:    0.09858 - 	 AQreal:    0.66601  	 
Exp: 1 - 	 Ger: 17 - 	 Best:    0.09431 - 	 Mean:    0.09824 - 	 AQreal:    0.66601  	 
Exp: 1 - 	 Ger: 18 - 	 Best:    0.09431 - 	 Mean:    0.09821 - 	 AQreal:    0.66601  	 
Exp: 1 - 	 Ger: 19 - 	 Best:    0.09431 - 	 Mean:    0.09805 - 	 AQreal:    0.66601  	 
Exp: 1 - 	 Ger: 20 - 	 Best:    0.09431 - 	 Mean:    0.09787 - 	 AQreal:    0.61573  	 
Exp: 1 - 	 Ger: 21 - 	 Best:    0.09431 - 	 Mean:    0.09770 - 	 AQreal:    0.61573  	 
Exp: 1 - 	 Ger: 22 - 	 Best:    0.09431 - 	 Mean:    0.09756 - 	 AQreal:    0.61573  	 
Exp: 1 - 	 Ger: 23 - 	 Best:    0.09431 - 	 Mean:    0.09739 - 	 AQreal:    0.61573  	 
Exp: 1 - 	 Ger: 24 - 	 Best:    0.09125 - 	 Mean:    0.09714 - 	 AQreal:    0.61573  	 
Exp: 1 - 	 Ger: 25 - 	 Best:    0.09125 - 	 Mean:    0.09710 - 	 AQreal:    0.56949  	 
Exp: 1 - 	 Ger: 26 - 	 Best:    0.09125 - 	 Mean:    0.09702 - 	 AQreal:    0.56949  	 
Exp: 1 - 	 Ger: 27 - 	 Best:    0.09125 - 	 Mean:    0.09671 - 	 AQreal:    0.56949  	 
Exp: 1 - 	 Ger: 28 - 	 Best:    0.09125 - 	 Mean:    0.09644 - 	 AQreal:    0.56949  	 
Exp: 1 - 	 Ger: 29 - 	 Best:    0.09125 - 	 Mean:    0.09631 - 	 AQreal:    0.56949  	 
Exp: 1 - 	 Ger: 30 - 	 Best:    0.09125 - 	 Mean:    0.09623 - 	 AQreal:    0.50919  	 
Exp: 1 - 	 Ger: 31 - 	 Best:    0.09125 - 	 Mean:    0.09606 - 	 AQreal:    0.50919  	 
Exp: 1 - 	 Ger: 32 - 	 Best:    0.09124 - 	 Mean:    0.09589 - 	 AQreal:    0.50919  	 
Exp: 1 - 	 Ger: 33 - 	 Best:    0.09124 - 	 Mean:    0.09574 - 	 AQreal:    0.50919  	 
Exp: 1 - 	 Ger: 34 - 	 Best:    0.09124 - 	 Mean:    0.09540 - 	 AQreal:    0.50919  	 
Exp: 1 - 	 Ger: 35 - 	 Best:    0.09124 - 	 Mean:    0.09512 - 	 AQreal:    0.49317  	 
Exp: 1 - 	 Ger: 36 - 	 Best:    0.09124 - 	 Mean:    0.09512 - 	 AQreal:    0.49317  	 
Exp: 1 - 	 Ger: 37 - 	 Best:    0.09124 - 	 Mean:    0.09494 - 	 AQreal:    0.49317  	 
Exp: 1 - 	 Ger: 38 - 	 Best:    0.09124 - 	 Mean:    0.09484 - 	 AQreal:    0.49317  	 
Exp: 1 - 	 Ger: 39 - 	 Best:    0.09124 - 	 Mean:    0.09455 - 	 AQreal:    0.49317  	 
Exp: 1 - 	 Ger: 40 - 	 Best:    0.09124 - 	 Mean:    0.09447 - 	 AQreal:    0.45234  	 
Exp: 1 - 	 Ger: 41 - 	 Best:    0.09124 - 	 Mean:    0.09429 - 	 AQreal:    0.45234  	 
Exp: 1 - 	 Ger: 42 - 	 Best:    0.09124 - 	 Mean:    0.09413 - 	 AQreal:    0.45234  	 
Exp: 1 - 	 Ger: 43 - 	 Best:    0.09113 - 	 Mean:    0.09376 - 	 AQreal:    0.45234  	 
Exp: 1 - 	 Ger: 44 - 	 Best:    0.09113 - 	 Mean:    0.09353 - 	 AQreal:    0.45234  	 
Exp: 1 - 	 Ger: 45 - 	 Best:    0.09016 - 	 Mean:    0.09330 - 	 AQreal:    0.42486  	 
Exp: 1 - 	 Ger: 46 - 	 Best:    0.09016 - 	 Mean:    0.09295 - 	 AQreal:    0.42486  	 
Exp: 1 - 	 Ger: 47 - 	 Best:    0.09016 - 	 Mean:    0.09273 - 	 AQreal:    0.42486  	 
Exp: 1 - 	 Ger: 48 - 	 Best:    0.09016 - 	 Mean:    0.09264 - 	 AQreal:    0.42486  	 
Exp: 1 - 	 Ger: 49 - 	 Best:    0.09002 - 	 Mean:    0.09248 - 	 AQreal:    0.42486  	 
Exp: 1 - 	 Ger: 50 - 	 Best:    0.09002 - 	 Mean:    0.09241 - 	 AQreal:    0.41897  	 
Exp: 1 - 	 Ger: 51 - 	 Best:    0.09002 - 	 Mean:    0.09232 - 	 AQreal:    0.41897  	 
